case_id,root_service,fault_type,service_family,budget,policy,avg_at_5,top1,top3,top5
logservice1_memory_1626541123,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
logservice1_memory_1626551793,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
logservice1_memory_1626571662,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
logservice1_memory_1626575299,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
logservice1_memory_1626608283,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
logservice1_memory_1626632009,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
logservice1_memory_1626764699,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
logservice1_memory_1626865404,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
logservice1_memory_1626926283,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
logservice1_memory_1627024158,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
logservice1_memory_1627144173,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
logservice1_memory_1627165561,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
logservice1_memory_1627170037,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
logservice1_memory_1627228703,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
logservice1_memory_1627243989,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
logservice1_memory_1627283437,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
logservice1_memory_1627291476,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
logservice1_memory_1627299080,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
logservice1_memory_1627310265,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
logservice1_memory_1627477200,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.8,0.0,1.0,1.0
logservice1_memory_1627522806,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,0.6,0.0,1.0,1.0
logservice1_memory_1627545894,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
logservice1_memory_1627592904,logservice1,memory,logging,0.25,adaptive_corrupted_anchor,1.0,1.0,1.0,1.0
