policy,dataset,fault,budget,cases,top1,top3,top5,avg5,total_reduction,post_injection_trace_reduction,post_injection_span_reduction
abnormality_topk,RE2-OB,socket,0.5,15,0.13333333333333333,0.8,1.0,0.6933333333333334,0.2425608304168315,0.49999952464764313,0.24647458167105277
abnormality_topk,RE2-OB,socket,1.0,15,0.13333333333333333,0.8,1.0,0.6933333333333334,0.0,0.0,0.0
abnormality_topk,RE2-TT,cpu,0.05,15,0.6666666666666666,0.8,0.8,0.7733333333333333,0.4673249556449599,0.9499857158990699,0.8205124882508724
abnormality_topk,RE2-TT,cpu,0.1,15,0.6666666666666666,0.8,0.8,0.7733333333333333,0.4427343230429699,0.9000126232134942,0.7086779894702346
abnormality_topk,RE2-TT,cpu,0.25,15,0.6666666666666666,0.8,0.8666666666666667,0.8,0.3689341054546033,0.7499891483503079,0.45398974029003586
abnormality_topk,RE2-TT,cpu,0.5,15,0.8666666666666667,1.0,1.0,0.9733333333333333,0.24596205419638645,0.4999586973230003,0.1599321130682146
abnormality_topk,RE2-TT,cpu,1.0,15,0.8666666666666667,1.0,1.0,0.9733333333333333,0.0,0.0,0.0
abnormality_topk,RE2-TT,delay,0.05,15,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.41541160558761553,0.9500610489873939,0.8682058847842851
abnormality_topk,RE2-TT,delay,0.1,15,1.0,1.0,1.0,1.0,0.39353525767429437,0.9000547468054313,0.7898305149235922
abnormality_topk,RE2-TT,delay,0.25,15,1.0,1.0,1.0,1.0,0.32789651046027757,0.7499813424704256,0.612633571676951
abnormality_topk,RE2-TT,delay,0.5,15,1.0,1.0,1.0,1.0,0.21860282749286405,0.49998345166976527,0.24834031490606995
abnormality_topk,RE2-TT,delay,1.0,15,1.0,1.0,1.0,1.0,0.0,0.0,0.0
abnormality_topk,RE2-TT,disk,0.05,15,0.5333333333333333,0.7333333333333333,0.8666666666666667,0.7333333333333333,0.47101294354576567,0.9499587111228874,0.8486772512412117
abnormality_topk,RE2-TT,disk,0.1,15,0.7333333333333333,0.8666666666666667,0.8666666666666667,0.84,0.44624570701531674,0.9000199757412326,0.7560922409382875
abnormality_topk,RE2-TT,disk,0.25,15,0.8,0.9333333333333333,0.9333333333333333,0.9066666666666666,0.37183245969342066,0.7499376960938203,0.5448073548499519
abnormality_topk,RE2-TT,disk,0.5,15,0.8,0.9333333333333333,0.9333333333333333,0.9066666666666666,0.247894371369029,0.49993718573449236,0.27075454553689615
abnormality_topk,RE2-TT,disk,1.0,15,0.8,0.9333333333333333,1.0,0.92,0.0,0.0,0.0
abnormality_topk,RE2-TT,loss,0.05,15,0.6666666666666666,0.7333333333333333,0.8666666666666667,0.7333333333333333,0.46020608497470267,0.9500202835135776,0.8406377637236885
abnormality_topk,RE2-TT,loss,0.1,15,0.6666666666666666,0.7333333333333333,0.7333333333333333,0.7066666666666667,0.43596083701478666,0.899977018896245,0.7170041412877814
abnormality_topk,RE2-TT,loss,0.25,15,0.7333333333333333,0.8666666666666667,0.8666666666666667,0.8266666666666667,0.36330488755407636,0.7499961472538935,0.46812761108530937
abnormality_topk,RE2-TT,loss,0.5,15,0.8,0.8666666666666667,1.0,0.9066666666666666,0.24224042560946565,0.4999729335332563,0.17059250309829804
abnormality_topk,RE2-TT,loss,1.0,15,0.8,1.0,1.0,0.9333333333333333,0.0,0.0,0.0
abnormality_topk,RE2-TT,mem,0.05,15,0.6,0.8,0.8,0.76,0.46607175216895147,0.9500013792619981,0.8439942951724586
abnormality_topk,RE2-TT,mem,0.1,15,0.6666666666666666,0.8666666666666667,0.8666666666666667,0.8266666666666667,0.4415288859867413,0.9000031625287218,0.7278441357343284
abnormality_topk,RE2-TT,mem,0.25,15,0.6666666666666666,0.8666666666666667,0.8666666666666667,0.8266666666666667,0.3679190818027579,0.7500045009253458,0.4554929781457783
abnormality_topk,RE2-TT,mem,0.5,15,0.8,1.0,1.0,0.9600000000000001,0.24529665434841338,0.5000091381236504,0.151378837706452
