case_id,budget,fold,model,rank,top1,top3,top5,avg_at_5
redisservice1_memory_1625816205,0.5,1,deterministic_formula,1,1,1,1,1.0
redisservice1_memory_1626014952,0.5,1,deterministic_formula,4,0,0,1,0.4
redisservice1_memory_1626851723,0.5,1,deterministic_formula,4,0,0,1,0.4
redisservice1_memory_1627002068,0.5,1,deterministic_formula,2,0,1,1,0.8
redisservice1_memory_1627213476,0.5,1,deterministic_formula,1,1,1,1,1.0
redisservice1_memory_1627512202,0.5,1,deterministic_formula,5,0,0,1,0.2
redisservice2_errno111_1626751801,0.5,1,deterministic_formula,2,0,1,1,0.8
redisservice2_memory_1625324488,0.5,1,deterministic_formula,4,0,0,1,0.4
redisservice2_memory_1625493529,0.5,1,deterministic_formula,3,0,1,1,0.6
redisservice2_memory_1625620800,0.5,1,deterministic_formula,3,0,1,1,0.6
redisservice2_memory_1625692590,0.5,1,deterministic_formula,2,0,1,1,0.8
redisservice2_memory_1625752669,0.5,1,deterministic_formula,2,0,1,1,0.8
redisservice2_memory_1626319731,0.5,1,deterministic_formula,3,0,1,1,0.6
redisservice2_memory_1626375654,0.5,1,deterministic_formula,2,0,1,1,0.8
redisservice2_memory_1626410429,0.5,1,deterministic_formula,3,0,1,1,0.6
redisservice2_memory_1627022600,0.5,1,deterministic_formula,5,0,0,1,0.2
redisservice2_memory_1627115108,0.5,1,deterministic_formula,1,1,1,1,1.0
redisservice2_memory_1627293263,0.5,1,deterministic_formula,5,0,0,1,0.2
redisservice2_memory_1627629714,0.5,1,deterministic_formula,2,0,1,1,0.8
redisservice2_memory_1627745580,0.5,1,deterministic_formula,3,0,1,1,0.6
redisservice2_memory_1627748697,0.5,1,deterministic_formula,1,1,1,1,1.0
webservice1_file_move_1625933400,0.5,1,deterministic_formula,2,0,1,1,0.8
webservice1_file_move_1626351000,0.5,1,deterministic_formula,2,0,1,1,0.8
webservice1_file_move_1626797400,0.5,1,deterministic_formula,2,0,1,1,0.8
webservice1_file_move_1626840600,0.5,1,deterministic_formula,1,1,1,1,1.0
webservice1_memory_1625546136,0.5,1,deterministic_formula,3,0,1,1,0.6
webservice1_memory_1626198054,0.5,1,deterministic_formula,3,0,1,1,0.6
webservice1_memory_1626434165,0.5,1,deterministic_formula,5,0,0,1,0.2
webservice1_memory_1626881411,0.5,1,deterministic_formula,3,0,1,1,0.6
webservice1_memory_1627100569,0.5,1,deterministic_formula,4,0,0,1,0.4
webservice1_memory_1627381040,0.5,1,deterministic_formula,4,0,0,1,0.4
webservice1_memory_1627427700,0.5,1,deterministic_formula,4,0,0,1,0.4
webservice1_memory_1627539698,0.5,1,deterministic_formula,1,1,1,1,1.0
webservice1_memory_1627724870,0.5,1,deterministic_formula,1,1,1,1,1.0
webservice2_file_move_1625501400,0.5,1,deterministic_formula,1,1,1,1,1.0
webservice2_file_move_1626163800,0.5,1,deterministic_formula,1,1,1,1,1.0
webservice2_file_move_1626869400,0.5,1,deterministic_formula,2,0,1,1,0.8
webservice2_file_move_1627071001,0.5,1,deterministic_formula,2,0,1,1,0.8
webservice2_memory_1625212312,0.5,1,deterministic_formula,4,0,0,1,0.4
