dataset,fault,budget,seed,cases,top1,top3,top5,avg5,total_reduction,post_injection_reduction
RE2-OB,cpu,0.5,2028,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.23318901707547815,0.5000369194928596
RE2-OB,cpu,0.5,2029,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.23318901707547815,0.5000369194928596
RE2-OB,cpu,0.5,2030,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.23318901707547815,0.5000369194928596
RE2-OB,cpu,0.5,2031,15,0.13333333333333333,0.8,1.0,0.7066666666666667,0.23318901707547815,0.5000369194928596
RE2-OB,cpu,0.5,2032,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.23318901707547815,0.5000369194928596
RE2-OB,cpu,0.5,2033,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.23318901707547815,0.5000369194928596
RE2-OB,cpu,0.5,2034,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.23318901707547815,0.5000369194928596
RE2-OB,cpu,0.5,2035,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.23318901707547815,0.5000369194928596
RE2-OB,cpu,0.75,2026,15,0.06666666666666667,0.8,1.0,0.68,0.11659720748699169,0.2499786821997042
RE2-OB,cpu,0.75,2027,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.11659720748699169,0.2499786821997042
RE2-OB,cpu,0.75,2028,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.11659720748699169,0.2499786821997042
RE2-OB,cpu,0.75,2029,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.11659720748699169,0.2499786821997042
RE2-OB,cpu,0.75,2030,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.11659720748699169,0.2499786821997042
RE2-OB,cpu,0.75,2031,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.11659720748699169,0.2499786821997042
RE2-OB,cpu,0.75,2032,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.11659720748699169,0.2499786821997042
RE2-OB,cpu,0.75,2033,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.11659720748699169,0.2499786821997042
RE2-OB,cpu,0.75,2034,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.11659720748699169,0.2499786821997042
RE2-OB,cpu,0.75,2035,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.11659720748699169,0.2499786821997042
RE2-OB,cpu,1.0,2026,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.0,0.0
RE2-OB,cpu,1.0,2027,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.0,0.0
RE2-OB,cpu,1.0,2028,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.0,0.0
RE2-OB,cpu,1.0,2029,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.0,0.0
RE2-OB,cpu,1.0,2030,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.0,0.0
RE2-OB,cpu,1.0,2031,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.0,0.0
RE2-OB,cpu,1.0,2032,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.0,0.0
RE2-OB,cpu,1.0,2033,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.0,0.0
RE2-OB,cpu,1.0,2034,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.0,0.0
RE2-OB,cpu,1.0,2035,15,0.06666666666666667,0.8,1.0,0.6933333333333334,0.0,0.0
RE2-OB,delay,0.05,2026,15,0.2,0.4666666666666667,0.8666666666666667,0.5333333333333333,0.45554607336320446,0.9499959492070775
RE2-OB,delay,0.05,2027,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334,0.45554607336320446,0.9499959492070775
RE2-OB,delay,0.05,2028,15,0.2,0.6,0.9333333333333333,0.6133333333333333,0.45554607336320446,0.9499959492070775
RE2-OB,delay,0.05,2029,15,0.2,0.4666666666666667,0.8,0.5333333333333333,0.45554607336320446,0.9499959492070775
RE2-OB,delay,0.05,2030,15,0.2,0.4666666666666667,0.8666666666666667,0.5333333333333333,0.45554607336320446,0.9499959492070775
RE2-OB,delay,0.05,2031,15,0.2,0.4666666666666667,0.9333333333333333,0.5733333333333334,0.45554607336320446,0.9499959492070775
RE2-OB,delay,0.05,2032,15,0.2,0.6,0.9333333333333333,0.6,0.45554607336320446,0.9499959492070775
RE2-OB,delay,0.05,2033,15,0.2,0.4666666666666667,0.9333333333333333,0.5466666666666667,0.45554607336320446,0.9499959492070775
